"id","type","title","front","back","teacher_use"
"source-silence-investigation-stimulus-01","Stimulus","Source Silence Investigation Stimulus A","Student-facing stimulus 1: Packet: official school notice, newspaper paragraph, teacher diary, but no student voices. Mark what the source shows, what it omits, whose perspective appears, and what claim it can responsibly support.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"source-silence-investigation-stimulus-02","Stimulus","Source Silence Investigation Stimulus B","Student-facing stimulus 2: Packet: merchant account, travel diary, law code, but no record from workers affected by the policy. Mark what the source shows, what it omits, whose perspective appears, and what claim it can responsibly support.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"source-silence-investigation-stimulus-03","Stimulus","Source Silence Investigation Reveal / Twist","Student-facing stimulus 3: Packet: merchant account, travel diary, law code, but no record from workers affected by the policy. Mark what the source shows, what it omits, whose perspective appears, and what claim it can responsibly support.","Teacher reveal: connect the changed response to the big idea — Historical knowledge depends not only on surviving sources, but also on recognizing what did not survive.","Use to create the revision moment."
"source-silence-investigation-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"source-silence-investigation-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"source-silence-investigation-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"source-silence-investigation-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"source-silence-investigation-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"source-silence-investigation-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"source-silence-investigation-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to History.","How can we know responsibly when evidence is missing?","Use as the main activity instruction."
"source-silence-investigation-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how historical knowledge depends not only on surviving sources, but also on recognizing what did not survive.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
