"id","type","title","front","back","teacher_use"
"pythagorean-proof-gallery-card-01","Proof card","Visual proof","Rearrange four right triangles around a square to show a^2 + b^2 = c^2.","Strong for spatial explanation; ask what assumptions it uses.","Use as gallery stations or ranking cards for proof criteria."
"pythagorean-proof-gallery-card-02","Proof card","Algebraic proof","Use area expressions and simplify to a^2 + b^2 = c^2.","Strong for generality; ask whether students understand why it works.","Use as gallery stations or ranking cards for proof criteria."
"pythagorean-proof-gallery-card-03","Proof card","Verbal proof","Explain in words why the areas must be equal.","Accessible, but may hide a logical gap.","Use as gallery stations or ranking cards for proof criteria."
"pythagorean-proof-gallery-card-04","Proof card","Empirical check","Measure five right triangles and see the pattern.","Suggestive evidence, not proof.","Use as gallery stations or ranking cards for proof criteria."
"pythagorean-proof-gallery-card-05","Proof card","Criterion","Rank by certainty, explanation, elegance, and accessibility.","Different criteria can produce different rankings.","Use as gallery stations or ranking cards for proof criteria."
"pythagorean-proof-gallery-card-06","Proof card","TOK prompt","What makes proof different from repeated confirmation?","Use to connect mathematics with other AOKs.","Use as gallery stations or ranking cards for proof criteria."
"pythagorean-proof-gallery-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"pythagorean-proof-gallery-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"pythagorean-proof-gallery-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"pythagorean-proof-gallery-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"pythagorean-proof-gallery-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"pythagorean-proof-gallery-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"pythagorean-proof-gallery-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Mathematics.","What makes mathematical proof different from empirical confirmation?","Use as the main activity instruction."
"pythagorean-proof-gallery-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how mathematical proof is not just a result; it is a standard for why a result must be true.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
