"id","type","title","front","back","teacher_use"
"feeling-of-knowing-forecast-stimulus-01","Stimulus","Feeling of Knowing Forecast Stimulus A","Student-facing stimulus 1: Recall prompt: What is the term for a word that imitates a sound?. Before discussing, write what you noticed, what you inferred, and how confident you are.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"feeling-of-knowing-forecast-stimulus-02","Stimulus","Feeling of Knowing Forecast Stimulus B","Student-facing stimulus 2: Recognition options later: metaphor, onomatopoeia, alliteration, oxymoron. Before discussing, write what you noticed, what you inferred, and how confident you are.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"feeling-of-knowing-forecast-stimulus-03","Stimulus","Feeling of Knowing Forecast Reveal / Twist","Student-facing stimulus 3: Recognition options later: metaphor, onomatopoeia, alliteration, oxymoron. Before discussing, write what you noticed, what you inferred, and how confident you are.","Teacher reveal: connect the changed response to the big idea — The feeling that knowledge is available is itself a judgement that can be tested.","Use to create the revision moment."
"feeling-of-knowing-forecast-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"feeling-of-knowing-forecast-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"feeling-of-knowing-forecast-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"feeling-of-knowing-forecast-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"feeling-of-knowing-forecast-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"feeling-of-knowing-forecast-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"feeling-of-knowing-forecast-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Knowledge and the Knower.","How reliable is introspection as evidence about what we know?","Use as the main activity instruction."
"feeling-of-knowing-forecast-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how the feeling that knowledge is available is itself a judgement that can be tested.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
