"id","type","title","front","back","teacher_use"
"bayes-update-cards-card-01","Base rate","Base rate card","Out of 1000 people, 10 have Condition X.","This is the prior probability before the test result.","Use in sequence to build the Bayesian update from concrete frequencies to notation."
"bayes-update-cards-card-02","True positives","True positives card","The test correctly flags 9 of the 10 people with Condition X.","These 9 belong in the numerator for P(H | +).","Use in sequence to build the Bayesian update from concrete frequencies to notation."
"bayes-update-cards-card-03","False positives","False positives card","The test falsely flags 99 people who do not have Condition X.","These cases join the positive-test denominator.","Use in sequence to build the Bayesian update from concrete frequencies to notation."
"bayes-update-cards-card-04","Update","Update card","After a positive test, use P(H | +) = 9 / (9 + 99) = 1 / 12 ≈ 8.3%.","Point to the denominator: all positive tests, not all real cases.","Use in sequence to build the Bayesian update from concrete frequencies to notation."
"bayes-update-cards-card-05","Notation trap","Notation trap card","P(H | +) asks about the hypothesis after the positive result.","Do not confuse it with P(+ | H), the chance of a positive result if the hypothesis is true.","Use in sequence to build the Bayesian update from concrete frequencies to notation."
"bayes-update-cards-card-06","Communication","Communication card","Which format is clearest: percentage, frequency, grid, or formula?","Students evaluate responsible communication, not just calculation.","Use in sequence to build the Bayesian update from concrete frequencies to notation."
"bayes-update-cards-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"bayes-update-cards-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"bayes-update-cards-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"bayes-update-cards-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"bayes-update-cards-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"bayes-update-cards-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"bayes-update-cards-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Mathematics.","How does notation shape mathematical knowledge?","Use as the main activity instruction."
"bayes-update-cards-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how new evidence updates prior probability; it does not replace the background rate.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
