"id","type","title","front","back","teacher_use"
"false-memory-word-list-stimulus-01","Stimulus","False Memory Word List Stimulus A","Student-facing stimulus 1: A word list around sleep that omits the word 'sleep'. Before discussing, write what you noticed, what you inferred, and how confident you are.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"false-memory-word-list-stimulus-02","Stimulus","False Memory Word List Stimulus B","Student-facing stimulus 2: A second list around sweet foods that omits 'candy' or 'sugar'. Before discussing, write what you noticed, what you inferred, and how confident you are.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"false-memory-word-list-stimulus-03","Stimulus","False Memory Word List Reveal / Twist","Student-facing stimulus 3: A recall sheet separating remembered words from inferred words. Before discussing, write what you noticed, what you inferred, and how confident you are.","Teacher reveal: connect the changed response to the big idea — Coherence can produce confident false memory.","Use to create the revision moment."
"false-memory-word-list-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"false-memory-word-list-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"false-memory-word-list-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"false-memory-word-list-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"false-memory-word-list-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"false-memory-word-list-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"false-memory-word-list-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Knowledge and the Knower.","Does a coherent story make a belief feel more true?","Use as the main activity instruction."
"false-memory-word-list-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how coherence can produce confident false memory.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
