"id","type","title","front","back","teacher_use"
"one-image-many-readings-stimulus-01","Stimulus","One Image, Many Readings Stimulus A","Student-facing stimulus 1: One ambiguous image interpreted through personal, cultural, political, and formal lenses. Describe what you see or hear first, then add title/context and revise the interpretation.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"one-image-many-readings-stimulus-02","Stimulus","One Image, Many Readings Stimulus B","Student-facing stimulus 2: A gallery walk where each group leaves a different reading. Describe what you see or hear first, then add title/context and revise the interpretation.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"one-image-many-readings-stimulus-03","Stimulus","One Image, Many Readings Reveal / Twist","Student-facing stimulus 3: A claim-evidence-context triangle for art interpretation. Describe what you see or hear first, then add title/context and revise the interpretation.","Teacher reveal: connect the changed response to the big idea — Evidence in interpretation is plural.","Use to create the revision moment."
"one-image-many-readings-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"one-image-many-readings-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"one-image-many-readings-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"one-image-many-readings-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"one-image-many-readings-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"one-image-many-readings-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"one-image-many-readings-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to The Arts.","Is ambiguity a weakness or strength in the arts?","Use as the main activity instruction."
"one-image-many-readings-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how evidence in interpretation is plural.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
