"id","type","title","front","back","teacher_use"
"replication-debate-stimulus-01","Stimulus","Replication Debate Stimulus A","Student-facing stimulus 1: A headline claim, a replication attempt, and a contested interpretation. Predict how people will respond, then identify the wording, context, incentive, or role that could change the result.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"replication-debate-stimulus-02","Stimulus","Replication Debate Stimulus B","Student-facing stimulus 2: Role cards for original researcher, replicator, journalist, and funding body. Predict how people will respond, then identify the wording, context, incentive, or role that could change the result.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"replication-debate-stimulus-03","Stimulus","Replication Debate Reveal / Twist","Student-facing stimulus 3: A reliability scale separating failure, boundary condition, and fraud. Predict how people will respond, then identify the wording, context, incentive, or role that could change the result.","Teacher reveal: connect the changed response to the big idea — Human science knowledge is context-sensitive.","Use to create the revision moment."
"replication-debate-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"replication-debate-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"replication-debate-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"replication-debate-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"replication-debate-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"replication-debate-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"replication-debate-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Human Sciences.","Does failed replication destroy knowledge?","Use as the main activity instruction."
"replication-debate-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how human science knowledge is context-sensitive.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
