"id","type","title","front","back","teacher_use"
"mechanism-black-box-stimulus-01","Stimulus","Mechanism Black Box Stimulus A","Student-facing stimulus 1: Rule box: input a number; output is double plus three. Competing mechanisms may fit early examples. Identify the observation, variable, control, anomaly, or missing method detail before making a claim.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"mechanism-black-box-stimulus-02","Stimulus","Mechanism Black Box Stimulus B","Student-facing stimulus 2: Physical box: different objects go in; the teacher secretly applies a sorting rule before returning an output card. Identify the observation, variable, control, anomaly, or missing method detail before making a claim.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"mechanism-black-box-stimulus-03","Stimulus","Mechanism Black Box Reveal / Twist","Student-facing stimulus 3: Physical box: different objects go in; the teacher secretly applies a sorting rule before returning an output card. Identify the observation, variable, control, anomaly, or missing method detail before making a claim.","Teacher reveal: connect the changed response to the big idea — Scientific explanation often goes beyond prediction by proposing mechanisms.","Use to create the revision moment."
"mechanism-black-box-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"mechanism-black-box-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"mechanism-black-box-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"mechanism-black-box-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"mechanism-black-box-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"mechanism-black-box-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"mechanism-black-box-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Natural Sciences.","What is added by knowing a mechanism?","Use as the main activity instruction."
"mechanism-black-box-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how scientific explanation often goes beyond prediction by proposing mechanisms.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
