"id","type","title","front","back","teacher_use"
"broken-archive-stimulus-01","Stimulus","Broken Archive Stimulus A","Student-facing stimulus 1: A partial archive with missing letters, dates, or voices. Mark what the source shows, what it omits, whose perspective appears, and what claim it can responsibly support.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"broken-archive-stimulus-02","Stimulus","Broken Archive Stimulus B","Student-facing stimulus 2: Students reconstruct an event from incomplete evidence cards. Mark what the source shows, what it omits, whose perspective appears, and what claim it can responsibly support.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"broken-archive-stimulus-03","Stimulus","Broken Archive Reveal / Twist","Student-facing stimulus 3: A source silence note asking who is absent and why. Mark what the source shows, what it omits, whose perspective appears, and what claim it can responsibly support.","Teacher reveal: connect the changed response to the big idea — The past survives as incomplete traces.","Use to create the revision moment."
"broken-archive-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"broken-archive-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"broken-archive-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"broken-archive-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"broken-archive-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"broken-archive-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"broken-archive-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to History.","Can we know the past if we cannot observe it directly?","Use as the main activity instruction."
"broken-archive-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how the past survives as incomplete traces.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
