"id","type","title","front","back","teacher_use"
"infinity-hotel-check-in-card-01","Infinity card","Finite hotel","A 10-room hotel is full. One guest arrives.","No room unless someone leaves; finite intuition works.","Act out the move rule physically, then debrief intuition versus formal coherence."
"infinity-hotel-check-in-card-02","Infinity card","Infinite hotel","Every positive integer room is full. One guest arrives.","Use n → n + 1 to make room 1 free.","Act out the move rule physically, then debrief intuition versus formal coherence."
"infinity-hotel-check-in-card-03","Infinity card","Claim","∞ + 1 = ∞","The claim is coherent only after specifying the model.","Act out the move rule physically, then debrief intuition versus formal coherence."
"infinity-hotel-check-in-card-04","Infinity card","Rule check","Guest in room 1 moves to 2, 2 moves to 3, 3 moves to 4, and so on.","No current guest loses a room.","Act out the move rule physically, then debrief intuition versus formal coherence."
"infinity-hotel-check-in-card-05","Infinity card","Boundary","Could this work in a real hotel?","No: the activity is about formal mathematical objects.","Act out the move rule physically, then debrief intuition versus formal coherence."
"infinity-hotel-check-in-card-06","Infinity card","TOK prompt","Can mathematics know beyond what we can imagine?","Use after students feel the paradox.","Act out the move rule physically, then debrief intuition versus formal coherence."
"infinity-hotel-check-in-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"infinity-hotel-check-in-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"infinity-hotel-check-in-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"infinity-hotel-check-in-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"infinity-hotel-check-in-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"infinity-hotel-check-in-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"infinity-hotel-check-in-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Mathematics.","Can mathematics know beyond intuition?","Use as the main activity instruction."
"infinity-hotel-check-in-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how mathematical concepts can be coherent even when they violate ordinary experience.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
