"id","type","title","front","back","teacher_use"
"fake-or-masterpiece-stimulus-01","Stimulus","Fake or Masterpiece? Stimulus A","Student-facing stimulus 1: Two artworks with different provenance stories but similar visual quality. Describe what you see or hear first, then add title/context and revise the interpretation.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"fake-or-masterpiece-stimulus-02","Stimulus","Fake or Masterpiece? Stimulus B","Student-facing stimulus 2: A value ranking before and after learning authorship. Describe what you see or hear first, then add title/context and revise the interpretation.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"fake-or-masterpiece-stimulus-03","Stimulus","Fake or Masterpiece? Reveal / Twist","Student-facing stimulus 3: A debrief on whether knowledge about origin changes aesthetic knowledge. Describe what you see or hear first, then add title/context and revise the interpretation.","Teacher reveal: connect the changed response to the big idea — Reputation affects judgement.","Use to create the revision moment."
"fake-or-masterpiece-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"fake-or-masterpiece-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"fake-or-masterpiece-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"fake-or-masterpiece-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"fake-or-masterpiece-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"fake-or-masterpiece-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"fake-or-masterpiece-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to The Arts.","Is artistic value in the object, the viewer or the culture?","Use as the main activity instruction."
"fake-or-masterpiece-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how reputation affects judgement.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
