"id","type","title","front","back","teacher_use"
"monty-hall-shock-card-01","Round card","Round 1","Car behind Door A. First choice: Door B. Host opens Door C.","Switch wins","Use to run or check repeated Monty Hall rounds."
"monty-hall-shock-card-02","Round card","Round 2","Car behind Door B. First choice: Door A. Host opens Door C.","Stay wins","Use to run or check repeated Monty Hall rounds."
"monty-hall-shock-card-03","Round card","Round 3","Car behind Door C. First choice: Door A. Host opens Door B.","Switch wins","Use to run or check repeated Monty Hall rounds."
"monty-hall-shock-card-04","Round card","Round 4","Car behind Door A. First choice: Door C. Host opens Door B.","Switch wins","Use to run or check repeated Monty Hall rounds."
"monty-hall-shock-card-05","Round card","Round 5","Car behind Door B. First choice: Door C. Host opens Door A.","Switch wins","Use to run or check repeated Monty Hall rounds."
"monty-hall-shock-card-06","Round card","Round 6","Car behind Door C. First choice: Door B. Host opens Door A.","Stay wins","Use to run or check repeated Monty Hall rounds."
"monty-hall-shock-card-07","Round card","Round 7","Car behind Door A. First choice: Door B. Host opens Door C.","Switch wins","Use to run or check repeated Monty Hall rounds."
"monty-hall-shock-card-08","Round card","Round 8","Car behind Door B. First choice: Door A. Host opens Door C.","Switch wins","Use to run or check repeated Monty Hall rounds."
"monty-hall-shock-card-09","Round card","Round 9","Car behind Door C. First choice: Door A. Host opens Door B.","Switch wins","Use to run or check repeated Monty Hall rounds."
"monty-hall-shock-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"monty-hall-shock-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"monty-hall-shock-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"monty-hall-shock-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"monty-hall-shock-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"monty-hall-shock-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"monty-hall-shock-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Mathematics.","Why does mathematical reasoning often feel wrong at first?","Use as the main activity instruction."
"monty-hall-shock-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how formal probability can beat intuition.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
