"id","type","title","front","back","teacher_use"
"data-dashboard-mirage-card-01","Dashboard card","Dashboard A title","Attendance Success: late arrivals down 18%.","Highlights good news with green colour and a large percentage.","Use to audit how design choices turn data into a knowledge claim."
"data-dashboard-mirage-card-02","Dashboard card","Dashboard B title","Attendance Risk: absences up 12%.","Highlights concern with amber colour and a warning label.","Use to audit how design choices turn data into a knowledge claim."
"data-dashboard-mirage-card-03","Dashboard card","Metric choice","Average score: 72%.","Ask what this hides about distribution or improvement.","Use to audit how design choices turn data into a knowledge claim."
"data-dashboard-mirage-card-04","Dashboard card","Metric choice","Improvement: +8 points.","Ask what this hides about starting point.","Use to audit how design choices turn data into a knowledge claim."
"data-dashboard-mirage-card-05","Dashboard card","Ordering","Classes ranked by highest average.","Makes already-high groups look best.","Use to audit how design choices turn data into a knowledge claim."
"data-dashboard-mirage-card-06","Dashboard card","Ordering","Classes ranked by biggest improvement.","Makes change over time look best.","Use to audit how design choices turn data into a knowledge claim."
"data-dashboard-mirage-card-07","Dashboard card","Colour cue","Green means success.","A colour can make interpretation happen before analysis.","Use to audit how design choices turn data into a knowledge claim."
"data-dashboard-mirage-card-08","Dashboard card","Missing context","No sample size shown.","Ask what is needed before trusting the dashboard.","Use to audit how design choices turn data into a knowledge claim."
"data-dashboard-mirage-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"data-dashboard-mirage-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"data-dashboard-mirage-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"data-dashboard-mirage-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"data-dashboard-mirage-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"data-dashboard-mirage-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"data-dashboard-mirage-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Knowledge and Technology.","When does data visualization become argument?","Use as the main activity instruction."
"data-dashboard-mirage-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how dashboards do not simply show data; they prioritize, compress, and narrate it.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
