"id","type","title","front","back","teacher_use"
"same-object-different-aok-stimulus-01","Stimulus","Same Object, Different AOK Stimulus A","Student-facing stimulus 1: A shell, coin, photograph, or medicine bottle examined by multiple AOKs. Name the AOK, the method being used, and the standard of evidence you would apply.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"same-object-different-aok-stimulus-02","Stimulus","Same Object, Different AOK Stimulus B","Student-facing stimulus 2: A matrix with rows for AOK and columns for questions, methods, and evidence. Name the AOK, the method being used, and the standard of evidence you would apply.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"same-object-different-aok-stimulus-03","Stimulus","Same Object, Different AOK Reveal / Twist","Student-facing stimulus 3: A debrief on whether the object changes or the knower's purpose changes. Name the AOK, the method being used, and the standard of evidence you would apply.","Teacher reveal: connect the changed response to the big idea — One object can carry many kinds of knowledge.","Use to create the revision moment."
"same-object-different-aok-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"same-object-different-aok-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"same-object-different-aok-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"same-object-different-aok-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"same-object-different-aok-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"same-object-different-aok-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"same-object-different-aok-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Cross-AOK.","How does context change what an object helps us know?","Use as the main activity instruction."
"same-object-different-aok-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how one object can carry many kinds of knowledge.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
