"id","type","title","front","back","teacher_use"
"emotion-snapshot-audit-stimulus-01","Stimulus","Emotion Snapshot Audit Stimulus A","Student-facing stimulus 1: Scene: a student sees two friends whispering and laughing near the classroom door. Before discussing, write what you noticed, what you inferred, and how confident you are.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"emotion-snapshot-audit-stimulus-02","Stimulus","Emotion Snapshot Audit Stimulus B","Student-facing stimulus 2: Emotion frames: anxious, excited, suspicious, calm, embarrassed, proud. Before discussing, write what you noticed, what you inferred, and how confident you are.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"emotion-snapshot-audit-stimulus-03","Stimulus","Emotion Snapshot Audit Reveal / Twist","Student-facing stimulus 3: Emotion frames: anxious, excited, suspicious, calm, embarrassed, proud. Before discussing, write what you noticed, what you inferred, and how confident you are.","Teacher reveal: connect the changed response to the big idea — Emotion is not merely noise in knowing; it can focus, filter, and frame evidence.","Use to create the revision moment."
"emotion-snapshot-audit-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"emotion-snapshot-audit-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"emotion-snapshot-audit-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"emotion-snapshot-audit-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"emotion-snapshot-audit-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"emotion-snapshot-audit-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"emotion-snapshot-audit-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Knowledge and the Knower.","How does emotion shape what knowers notice?","Use as the main activity instruction."
"emotion-snapshot-audit-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how emotion is not merely noise in knowing; it can focus, filter, and frame evidence.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
