"id","type","title","front","back","teacher_use"
"algorithmic-feed-simulation-card-01","Science","Science post","New sleep study suggests revision after 9pm may reduce recall.","Source: University press office. Tone: Curious. Reliability: High. Predicted engagement: 42/100.","Rank with different algorithms: engagement, recency, reliability, emotion, or friend activity."
"algorithmic-feed-simulation-card-02","News","News post","Local council considers later bus times for students.","Source: Local newspaper. Tone: Practical. Reliability: Medium. Predicted engagement: 38/100.","Rank with different algorithms: engagement, recency, reliability, emotion, or friend activity."
"algorithmic-feed-simulation-card-03","Meme","Meme post","When the TOK essay asks for one more example.","Source: Student meme page. Tone: Humorous. Reliability: Low. Predicted engagement: 81/100.","Rank with different algorithms: engagement, recency, reliability, emotion, or friend activity."
"algorithmic-feed-simulation-card-04","Sport","Sport post","Captain says team won because they trusted the data.","Source: Sports blog. Tone: Admiring. Reliability: Medium. Predicted engagement: 57/100.","Rank with different algorithms: engagement, recency, reliability, emotion, or friend activity."
"algorithmic-feed-simulation-card-05","Celebrity","Celebrity post","Actor says phones are destroying creativity.","Source: Entertainment site. Tone: Alarmed. Reliability: Low. Predicted engagement: 76/100.","Rank with different algorithms: engagement, recency, reliability, emotion, or friend activity."
"algorithmic-feed-simulation-card-06","Advert","Advert post","Brain-boost drink promises sharper focus in seven days.","Source: Sponsored post. Tone: Confident. Reliability: Low. Predicted engagement: 69/100.","Rank with different algorithms: engagement, recency, reliability, emotion, or friend activity."
"algorithmic-feed-simulation-card-07","Revision","Revision post","Spacing practice beats rereading for long-term memory.","Source: Study skills centre. Tone: Useful. Reliability: High. Predicted engagement: 55/100.","Rank with different algorithms: engagement, recency, reliability, emotion, or friend activity."
"algorithmic-feed-simulation-card-08","Conspiracy","Conspiracy post","Hidden exam pattern revealed by anonymous insider.","Source: Anonymous channel. Tone: Suspicious. Reliability: Very low. Predicted engagement: 88/100.","Rank with different algorithms: engagement, recency, reliability, emotion, or friend activity."
"algorithmic-feed-simulation-card-09","Local","Local post","Students organise food-bank collection after school.","Source: School newsletter. Tone: Hopeful. Reliability: High. Predicted engagement: 31/100.","Rank with different algorithms: engagement, recency, reliability, emotion, or friend activity."
"algorithmic-feed-simulation-card-10","Science","Science post","Chart shows global temperatures by decade.","Source: Public data office. Tone: Serious. Reliability: High. Predicted engagement: 64/100.","Rank with different algorithms: engagement, recency, reliability, emotion, or friend activity."
"algorithmic-feed-simulation-card-11","News","News post","Headline claims new policy is a disaster before data is released.","Source: Comment site. Tone: Outraged. Reliability: Low. Predicted engagement: 72/100.","Rank with different algorithms: engagement, recency, reliability, emotion, or friend activity."
"algorithmic-feed-simulation-card-12","Meme","Meme post","Two tabs open: research and panic.","Source: Class group chat. Tone: Humorous. Reliability: Low. Predicted engagement: 91/100.","Rank with different algorithms: engagement, recency, reliability, emotion, or friend activity."
"algorithmic-feed-simulation-card-13","Sport","Sport post","Player credits lucky socks for five-match winning streak.","Source: Fan account. Tone: Playful. Reliability: Low. Predicted engagement: 49/100.","Rank with different algorithms: engagement, recency, reliability, emotion, or friend activity."
"algorithmic-feed-simulation-card-14","Celebrity","Celebrity post","Influencer shares 'ancient memory hack' with no source.","Source: Influencer reel. Tone: Excited. Reliability: Very low. Predicted engagement: 84/100.","Rank with different algorithms: engagement, recency, reliability, emotion, or friend activity."
"algorithmic-feed-simulation-card-15","Advert","Advert post","Tutoring app claims it can predict your final grade.","Source: Sponsored post. Tone: Confident. Reliability: Low. Predicted engagement: 66/100.","Rank with different algorithms: engagement, recency, reliability, emotion, or friend activity."
"algorithmic-feed-simulation-card-16","Revision","Revision post","Teacher explains why retrieval practice feels harder but works better.","Source: Teacher blog. Tone: Helpful. Reliability: High. Predicted engagement: 45/100.","Rank with different algorithms: engagement, recency, reliability, emotion, or friend activity."
"algorithmic-feed-simulation-card-17","Conspiracy","Conspiracy post","Viral thread says all search engines hide the same result.","Source: Anonymous thread. Tone: Suspicious. Reliability: Very low. Predicted engagement: 93/100.","Rank with different algorithms: engagement, recency, reliability, emotion, or friend activity."
"algorithmic-feed-simulation-card-18","Local","Local post","Cafe offers free study space during exam week.","Source: Local business page. Tone: Warm. Reliability: Medium. Predicted engagement: 37/100.","Rank with different algorithms: engagement, recency, reliability, emotion, or friend activity."
