"id","type","title","front","back","teacher_use"
"context-collapse-gallery-stimulus-01","Stimulus","Context Collapse Gallery Stimulus A","Student-facing stimulus 1: Image: a staged-looking photograph of an empty room; label one says 'after evacuation', fuller context says it is a theatre set. Describe what you see or hear first, then add title/context and revise the interpretation.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"context-collapse-gallery-stimulus-02","Stimulus","Context Collapse Gallery Stimulus B","Student-facing stimulus 2: Image: abstract painting; label one gives a false title, fuller context reveals artist intention and exhibition setting. Describe what you see or hear first, then add title/context and revise the interpretation.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"context-collapse-gallery-stimulus-03","Stimulus","Context Collapse Gallery Reveal / Twist","Student-facing stimulus 3: Image: abstract painting; label one gives a false title, fuller context reveals artist intention and exhibition setting. Describe what you see or hear first, then add title/context and revise the interpretation.","Teacher reveal: connect the changed response to the big idea — Artistic meaning is shaped by the context viewers bring and the context institutions provide.","Use to create the revision moment."
"context-collapse-gallery-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"context-collapse-gallery-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"context-collapse-gallery-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"context-collapse-gallery-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"context-collapse-gallery-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"context-collapse-gallery-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"context-collapse-gallery-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to The Arts.","Does context reveal meaning or create it?","Use as the main activity instruction."
"context-collapse-gallery-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how artistic meaning is shaped by the context viewers bring and the context institutions provide.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
