"id","type","title","front","back","teacher_use"
"curator-choice-gallery-card-01","Artwork card","Empty Chair","A wooden chair beside a window; a coat hangs over the back.","Absence, waiting, memory, or ordinary life.","Use as a movable gallery card. Students choose order, wall label, and curatorial theme."
"curator-choice-gallery-card-02","Artwork card","Crowded Street","Blurred figures cross under neon signs after rain.","Modernity, anonymity, energy, or confusion.","Use as a movable gallery card. Students choose order, wall label, and curatorial theme."
"curator-choice-gallery-card-03","Artwork card","Broken Cup","A white cup repaired with a visible gold line.","Damage, care, value, repair, or impermanence.","Use as a movable gallery card. Students choose order, wall label, and curatorial theme."
"curator-choice-gallery-card-04","Artwork card","Bright Pattern","Blocks of orange, teal, and blue repeat with one interruption.","Order, play, disruption, or design.","Use as a movable gallery card. Students choose order, wall label, and curatorial theme."
"curator-choice-gallery-card-05","Artwork card","Family Photo","Three people smile, but one face is half outside the frame.","Belonging, exclusion, memory, or chance.","Use as a movable gallery card. Students choose order, wall label, and curatorial theme."
"curator-choice-gallery-card-06","Artwork card","Dark Landscape","A hill under a heavy sky with one small light.","Isolation, hope, uncertainty, or scale.","Use as a movable gallery card. Students choose order, wall label, and curatorial theme."
"curator-choice-gallery-card-07","Artwork card","Plastic Flower","A fake flower in a real glass of water.","Imitation, beauty, consumption, or permanence.","Use as a movable gallery card. Students choose order, wall label, and curatorial theme."
"curator-choice-gallery-card-08","Artwork card","Open Door","A door opens onto a room we cannot see.","Invitation, risk, curiosity, or withheld knowledge.","Use as a movable gallery card. Students choose order, wall label, and curatorial theme."
"curator-choice-gallery-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"curator-choice-gallery-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"curator-choice-gallery-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"curator-choice-gallery-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"curator-choice-gallery-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"curator-choice-gallery-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"curator-choice-gallery-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to The Arts.","How do institutions shape knowledge in the arts?","Use as the main activity instruction."
"curator-choice-gallery-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how curators do not only display knowledge in the arts; they help organize and produce it.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
