"id","type","title","front","back","teacher_use"
"blind-spot-autobiography-stimulus-01","Stimulus","Blind Spot Autobiography Stimulus A","Student-facing stimulus 1: A private reflection on one belief students changed without sharing sensitive content. Before discussing, write what you noticed, what you inferred, and how confident you are.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"blind-spot-autobiography-stimulus-02","Stimulus","Blind Spot Autobiography Stimulus B","Student-facing stimulus 2: A 'known unknowns' box for topics students realise they rarely question. Before discussing, write what you noticed, what you inferred, and how confident you are.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"blind-spot-autobiography-stimulus-03","Stimulus","Blind Spot Autobiography Reveal / Twist","Student-facing stimulus 3: A perspective inventory naming communities that make some assumptions feel obvious. Before discussing, write what you noticed, what you inferred, and how confident you are.","Teacher reveal: connect the changed response to the big idea — Self-knowledge includes awareness of limits.","Use to create the revision moment."
"blind-spot-autobiography-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"blind-spot-autobiography-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"blind-spot-autobiography-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"blind-spot-autobiography-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"blind-spot-autobiography-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"blind-spot-autobiography-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"blind-spot-autobiography-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Knowledge and the Knower.","Can knowing your bias make you less biased?","Use as the main activity instruction."
"blind-spot-autobiography-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how self-knowledge includes awareness of limits.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
