"id","type","title","front","back","teacher_use"
"observer-effect-roleplay-stimulus-01","Stimulus","Observer Effect Roleplay Stimulus A","Student-facing stimulus 1: Task: build the tallest paper tower in five minutes while observers visibly tally leadership, interruptions, and suggestions. Predict how people will respond, then identify the wording, context, incentive, or role that could change the result.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"observer-effect-roleplay-stimulus-02","Stimulus","Observer Effect Roleplay Stimulus B","Student-facing stimulus 2: Second round: observers sit farther away and use a simpler tally scheme. Predict how people will respond, then identify the wording, context, incentive, or role that could change the result.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"observer-effect-roleplay-stimulus-03","Stimulus","Observer Effect Roleplay Reveal / Twist","Student-facing stimulus 3: Second round: observers sit farther away and use a simpler tally scheme. Predict how people will respond, then identify the wording, context, incentive, or role that could change the result.","Teacher reveal: connect the changed response to the big idea — In human sciences, observation can become part of the situation being observed.","Use to create the revision moment."
"observer-effect-roleplay-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"observer-effect-roleplay-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"observer-effect-roleplay-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"observer-effect-roleplay-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"observer-effect-roleplay-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"observer-effect-roleplay-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"observer-effect-roleplay-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Human Sciences.","Can observation alter what is known?","Use as the main activity instruction."
"observer-effect-roleplay-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how in human sciences, observation can become part of the situation being observed.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
