"id","type","title","front","back","teacher_use"
"translation-loss-game-card-01","Word card","Schadenfreude","Pleasure at another person's misfortune.","Context: A classmate's overconfidence backfires harmlessly.","Ask what is lost in literal translation, then write a richer explanation."
"translation-loss-game-card-02","Word card","Awkward","Social discomfort that is hard to translate exactly.","Context: A silence after someone says the wrong thing.","Ask what is lost in literal translation, then write a richer explanation."
"translation-loss-game-card-03","Word card","Saving face","Protecting social dignity or public reputation.","Context: Correcting someone privately rather than publicly.","Ask what is lost in literal translation, then write a richer explanation."
"translation-loss-game-card-04","Word card","Home","A place, feeling, identity, or relationship.","Context: A student says two countries both feel like home.","Ask what is lost in literal translation, then write a richer explanation."
"translation-loss-game-card-05","Word card","Fair","Just, equal, appropriate, beautiful, or light-coloured depending on context.","Context: A fair punishment is not always an equal one.","Ask what is lost in literal translation, then write a richer explanation."
"translation-loss-game-card-06","Word card","Respect","Status, care, obedience, recognition, or dignity.","Context: Students debate whether disagreement can show respect.","Ask what is lost in literal translation, then write a richer explanation."
"translation-loss-game-card-07","Word card","Freedom","Choice, independence, rights, absence of control, or capacity.","Context: A rule can limit action but increase safety.","Ask what is lost in literal translation, then write a richer explanation."
"translation-loss-game-card-08","Word card","Wabi-sabi","Beauty in imperfection, impermanence, and incompleteness.","Context: A cracked bowl valued because of its history.","Ask what is lost in literal translation, then write a richer explanation."
"translation-loss-game-card-09","Word card","Gezellig","A Dutch sense of cosy, sociable, pleasant togetherness.","Context: A small cafe feels warm because of the people, not the decor.","Ask what is lost in literal translation, then write a richer explanation."
"translation-loss-game-card-10","Word card","Ubuntu","A person is a person through other people.","Context: Community responsibility shapes individual identity.","Ask what is lost in literal translation, then write a richer explanation."
"translation-loss-game-card-11","Word card","Hygge","Danish cosy comfort and contentment.","Context: Soft light, shared food, and unhurried conversation.","Ask what is lost in literal translation, then write a richer explanation."
"translation-loss-game-card-12","Word card","L'esprit de l'escalier","Thinking of the perfect reply too late.","Context: A student finds the argument after the debate ends.","Ask what is lost in literal translation, then write a richer explanation."
"translation-loss-game-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"translation-loss-game-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"translation-loss-game-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"translation-loss-game-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"translation-loss-game-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"translation-loss-game-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
