"id","type","title","front","back","teacher_use"
"music-and-emotion-experiment-stimulus-01","Stimulus","Music and Emotion Experiment Stimulus A","Student-facing stimulus 1: The same image or scene paired with different soundtracks. Describe what you see or hear first, then add title/context and revise the interpretation.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"music-and-emotion-experiment-stimulus-02","Stimulus","Music and Emotion Experiment Stimulus B","Student-facing stimulus 2: Emotion rating cards before and after the music changes. Describe what you see or hear first, then add title/context and revise the interpretation.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"music-and-emotion-experiment-stimulus-03","Stimulus","Music and Emotion Experiment Reveal / Twist","Student-facing stimulus 3: A discussion of whether emotion reveals knowledge or distorts it. Describe what you see or hear first, then add title/context and revise the interpretation.","Teacher reveal: connect the changed response to the big idea — Form shapes perception and feeling.","Use to create the revision moment."
"music-and-emotion-experiment-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"music-and-emotion-experiment-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"music-and-emotion-experiment-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"music-and-emotion-experiment-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"music-and-emotion-experiment-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"music-and-emotion-experiment-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"music-and-emotion-experiment-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to The Arts.","Can emotion be a source of knowledge?","Use as the main activity instruction."
"music-and-emotion-experiment-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how form shapes perception and feeling.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
