"id","type","title","front","back","teacher_use"
"ambiguity-court-stimulus-01","Stimulus","Ambiguity Court Stimulus A","Student-facing stimulus 1: Sentence: 'I saw her duck.' Context A: a birdwatching trip. Context B: a football flying across the room. Annotate the wording. Circle the words that change tone, emotion, implication, or trust.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"ambiguity-court-stimulus-02","Stimulus","Ambiguity Court Stimulus B","Student-facing stimulus 2: Sentence: 'The teacher said the student was brilliant with a smile.'. Annotate the wording. Circle the words that change tone, emotion, implication, or trust.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"ambiguity-court-stimulus-03","Stimulus","Ambiguity Court Reveal / Twist","Student-facing stimulus 3: Sentence: 'The teacher said the student was brilliant with a smile.'. Annotate the wording. Circle the words that change tone, emotion, implication, or trust.","Teacher reveal: connect the changed response to the big idea — Ambiguity is not just confusion; it reveals how context and assumptions complete meaning.","Use to create the revision moment."
"ambiguity-court-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"ambiguity-court-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"ambiguity-court-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"ambiguity-court-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"ambiguity-court-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"ambiguity-court-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"ambiguity-court-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Knowledge and Language.","How much meaning is in words and how much is in context?","Use as the main activity instruction."
"ambiguity-court-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how ambiguity is not just confusion; it reveals how context and assumptions complete meaning.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
