"id","type","title","front","back","teacher_use"
"proof-versus-pattern-stimulus-01","Stimulus","Proof versus Pattern Stimulus A","Student-facing stimulus 1: A number pattern such as 1 + 2 + ... + n = n(n+1)/2 that invites both pattern-spotting and proof. Work the example, then decide whether it gives a pattern, a model, a calculation, or a proof.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"proof-versus-pattern-stimulus-02","Stimulus","Proof versus Pattern Stimulus B","Student-facing stimulus 2: A visual pattern students extend before testing whether it proves anything. Work the example, then decide whether it gives a pattern, a model, a calculation, or a proof.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"proof-versus-pattern-stimulus-03","Stimulus","Proof versus Pattern Reveal / Twist","Student-facing stimulus 3: A comparison between inductive confidence and deductive proof. Work the example, then decide whether it gives a pattern, a model, a calculation, or a proof.","Teacher reveal: connect the changed response to the big idea — Examples are not proof.","Use to create the revision moment."
"proof-versus-pattern-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"proof-versus-pattern-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"proof-versus-pattern-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"proof-versus-pattern-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"proof-versus-pattern-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"proof-versus-pattern-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"proof-versus-pattern-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Mathematics.","Why is proof valued more than observation in mathematics?","Use as the main activity instruction."
"proof-versus-pattern-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how examples are not proof.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
