"id","type","title","front","back","teacher_use"
"category-boundary-sorting-stimulus-01","Stimulus","Category Boundary Sorting Stimulus A","Student-facing stimulus 1: Cards such as game, sport, art, science, medicine, belief, evidence, and opinion. Annotate the wording. Circle the words that change tone, emotion, implication, or trust.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"category-boundary-sorting-stimulus-02","Stimulus","Category Boundary Sorting Stimulus B","Student-facing stimulus 2: Borderline cases that force students to define category rules. Annotate the wording. Circle the words that change tone, emotion, implication, or trust.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"category-boundary-sorting-stimulus-03","Stimulus","Category Boundary Sorting Reveal / Twist","Student-facing stimulus 3: A rule revision round after students encounter exceptions. Annotate the wording. Circle the words that change tone, emotion, implication, or trust.","Teacher reveal: connect the changed response to the big idea — Categories are made for purposes.","Use to create the revision moment."
"category-boundary-sorting-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"category-boundary-sorting-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"category-boundary-sorting-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"category-boundary-sorting-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"category-boundary-sorting-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"category-boundary-sorting-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"category-boundary-sorting-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Knowledge and Language.","Do categories describe reality or organise it?","Use as the main activity instruction."
"category-boundary-sorting-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how categories are made for purposes.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
