"id","type","title","front","back","teacher_use"
"certainty-thermometer-card-01","Mathematics","Mathematics claim","The angles in a Euclidean triangle sum to 180 degrees.","Method: proof within a formal system.","Rank by reliability, certainty, usefulness, or evidence quality. Then change criterion and rerank."
"certainty-thermometer-card-02","Natural Sciences","Natural Sciences claim","Smoking increases the risk of lung cancer.","Method: converging evidence from many studies.","Rank by reliability, certainty, usefulness, or evidence quality. Then change criterion and rerank."
"certainty-thermometer-card-03","Human Sciences","Human Sciences claim","Most people conform more under public pressure.","Method: experimental and observational evidence.","Rank by reliability, certainty, usefulness, or evidence quality. Then change criterion and rerank."
"certainty-thermometer-card-04","History","History claim","The source was written in London in 1912.","Method: provenance and archival comparison.","Rank by reliability, certainty, usefulness, or evidence quality. Then change criterion and rerank."
"certainty-thermometer-card-05","The Arts","The Arts claim","This painting expresses grief.","Method: interpretation supported by features and context.","Rank by reliability, certainty, usefulness, or evidence quality. Then change criterion and rerank."
"certainty-thermometer-card-06","Everyday","Everyday claim","This student is a reliable group member.","Method: repeated experience and testimony.","Rank by reliability, certainty, usefulness, or evidence quality. Then change criterion and rerank."
"certainty-thermometer-card-07","Technology","Technology claim","The top search result is the most useful result.","Method: ranking system plus user judgement.","Rank by reliability, certainty, usefulness, or evidence quality. Then change criterion and rerank."
"certainty-thermometer-card-08","Language","Language claim","The word 'invasion' frames the event negatively.","Method: semantic and rhetorical analysis.","Rank by reliability, certainty, usefulness, or evidence quality. Then change criterion and rerank."
"certainty-thermometer-card-09","Ethics","Ethics claim","It is unfair to punish everyone for one person's action.","Method: moral reasoning and principles.","Rank by reliability, certainty, usefulness, or evidence quality. Then change criterion and rerank."
"certainty-thermometer-card-10","Memory","Memory claim","I definitely saw the blue bag on the table.","Method: personal memory with possible reconstruction.","Rank by reliability, certainty, usefulness, or evidence quality. Then change criterion and rerank."
"certainty-thermometer-card-11","Statistics","Statistics claim","Class A improved more than Class B this month.","Method: operational definition and comparison.","Rank by reliability, certainty, usefulness, or evidence quality. Then change criterion and rerank."
"certainty-thermometer-card-12","Culture","Culture claim","This ritual shows respect.","Method: insider explanation and contextual knowledge.","Rank by reliability, certainty, usefulness, or evidence quality. Then change criterion and rerank."
"certainty-thermometer-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"certainty-thermometer-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"certainty-thermometer-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"certainty-thermometer-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"certainty-thermometer-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"certainty-thermometer-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
