"id","type","title","front","back","teacher_use"
"axiom-switch-universe-stimulus-01","Stimulus","Axiom Switch Universe Stimulus A","Student-facing stimulus 1: A geometry rule change where parallel lines behave differently. Work the example, then decide whether it gives a pattern, a model, a calculation, or a proof.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"axiom-switch-universe-stimulus-02","Stimulus","Axiom Switch Universe Stimulus B","Student-facing stimulus 2: A made-up arithmetic system with a changed operation rule. Work the example, then decide whether it gives a pattern, a model, a calculation, or a proof.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"axiom-switch-universe-stimulus-03","Stimulus","Axiom Switch Universe Reveal / Twist","Student-facing stimulus 3: A reflection on whether certainty depends on starting assumptions. Work the example, then decide whether it gives a pattern, a model, a calculation, or a proof.","Teacher reveal: connect the changed response to the big idea — Axioms create mathematical worlds.","Use to create the revision moment."
"axiom-switch-universe-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"axiom-switch-universe-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"axiom-switch-universe-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"axiom-switch-universe-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"axiom-switch-universe-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"axiom-switch-universe-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"axiom-switch-universe-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Mathematics.","Are mathematical truths absolute?","Use as the main activity instruction."
"axiom-switch-universe-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how axioms create mathematical worlds.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
