"id","type","title","front","back","teacher_use"
"average-trap-card-01","Average card","Revision hours","1, 1, 2, 2, 3, 3, 18","Mean is pulled upward; median better represents a typical student.","Calculate or identify mean, median, and mode, then decide which claim is responsible."
"average-trap-card-02","Average card","Screen time","2, 2, 3, 3, 3, 4, 11","Mode and median tell a calmer story than the mean.","Calculate or identify mean, median, and mode, then decide which claim is responsible."
"average-trap-card-03","Average card","Donation amounts","1, 1, 2, 2, 2, 5, 100","Mean matters for total money; median matters for typical donor.","Calculate or identify mean, median, and mode, then decide which claim is responsible."
"average-trap-card-04","Average card","Quiz scores","28, 68, 70, 71, 72, 73, 74","One outlier changes the mean more than the median.","Calculate or identify mean, median, and mode, then decide which claim is responsible."
"average-trap-card-05","Average card","Formula","mean = Σx / n","The formula is correct, but purpose decides whether it is the right summary.","Calculate or identify mean, median, and mode, then decide which claim is responsible."
"average-trap-card-06","Average card","TOK prompt","Can a number be accurate but unfair?","Students connect mathematical summary to audience and purpose.","Calculate or identify mean, median, and mode, then decide which claim is responsible."
"average-trap-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"average-trap-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"average-trap-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"average-trap-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"average-trap-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"average-trap-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"average-trap-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Mathematics.","How does choosing a summary statistic shape knowledge?","Use as the main activity instruction."
"average-trap-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how an average is a choice of representation, not a neutral summary of reality.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
