"id","type","title","front","back","teacher_use"
"interviewer-effect-simulation-stimulus-01","Stimulus","Interviewer Effect Simulation Stimulus A","Student-facing stimulus 1: Question: 'How useful is homework for learning?' Styles: warm, rushed, leading, skeptical, neutral. Predict how people will respond, then identify the wording, context, incentive, or role that could change the result.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"interviewer-effect-simulation-stimulus-02","Stimulus","Interviewer Effect Simulation Stimulus B","Student-facing stimulus 2: Question: 'What makes a classroom discussion good?' Styles: encouraging, distracted, formal. Predict how people will respond, then identify the wording, context, incentive, or role that could change the result.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"interviewer-effect-simulation-stimulus-03","Stimulus","Interviewer Effect Simulation Reveal / Twist","Student-facing stimulus 3: Question: 'What makes a classroom discussion good?' Styles: encouraging, distracted, formal. Predict how people will respond, then identify the wording, context, incentive, or role that could change the result.","Teacher reveal: connect the changed response to the big idea — In human sciences, the person asking can become part of the evidence produced.","Use to create the revision moment."
"interviewer-effect-simulation-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"interviewer-effect-simulation-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"interviewer-effect-simulation-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"interviewer-effect-simulation-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"interviewer-effect-simulation-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"interviewer-effect-simulation-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"interviewer-effect-simulation-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Human Sciences.","How can data be shaped by the method used to collect it?","Use as the main activity instruction."
"interviewer-effect-simulation-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how in human sciences, the person asking can become part of the evidence produced.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
