"id","type","title","front","back","teacher_use"
"anomaly-rescue-mission-stimulus-01","Stimulus","Anomaly Rescue Mission Stimulus A","Student-facing stimulus 1: Plant growth mostly increases with light exposure, except one low-light plant grows unusually tall. Identify the observation, variable, control, anomaly, or missing method detail before making a claim.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"anomaly-rescue-mission-stimulus-02","Stimulus","Anomaly Rescue Mission Stimulus B","Student-facing stimulus 2: Reaction time improves with practice, except one trial suddenly becomes much slower. Identify the observation, variable, control, anomaly, or missing method detail before making a claim.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"anomaly-rescue-mission-stimulus-03","Stimulus","Anomaly Rescue Mission Reveal / Twist","Student-facing stimulus 3: Reaction time improves with practice, except one trial suddenly becomes much slower. Identify the observation, variable, control, anomaly, or missing method detail before making a claim.","Teacher reveal: connect the changed response to the big idea — Anomalies are not automatically errors; they are tests of method, theory, and judgement.","Use to create the revision moment."
"anomaly-rescue-mission-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"anomaly-rescue-mission-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"anomaly-rescue-mission-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"anomaly-rescue-mission-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"anomaly-rescue-mission-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"anomaly-rescue-mission-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"anomaly-rescue-mission-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Natural Sciences.","When should anomalous evidence change a theory?","Use as the main activity instruction."
"anomaly-rescue-mission-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how anomalies are not automatically errors; they are tests of method, theory, and judgement.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
