"id","type","title","front","back","teacher_use"
"correlation-illusion-cards-stimulus-01","Stimulus","Correlation Illusion Cards Stimulus A","Student-facing stimulus 1: Cards pair 'used flashcards / did not use flashcards' with 'high quiz score / lower quiz score'. Work the example, then decide whether it gives a pattern, a model, a calculation, or a proof.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"correlation-illusion-cards-stimulus-02","Stimulus","Correlation Illusion Cards Stimulus B","Student-facing stimulus 2: A few vivid cards show flashcards plus high scores, while the full set is mixed. Work the example, then decide whether it gives a pattern, a model, a calculation, or a proof.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"correlation-illusion-cards-stimulus-03","Stimulus","Correlation Illusion Cards Reveal / Twist","Student-facing stimulus 3: A few vivid cards show flashcards plus high scores, while the full set is mixed. Work the example, then decide whether it gives a pattern, a model, a calculation, or a proof.","Teacher reveal: connect the changed response to the big idea — Patterns can feel meaningful before they are mathematically justified.","Use to create the revision moment."
"correlation-illusion-cards-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"correlation-illusion-cards-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"correlation-illusion-cards-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"correlation-illusion-cards-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"correlation-illusion-cards-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"correlation-illusion-cards-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"correlation-illusion-cards-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Mathematics.","When does a perceived pattern become evidence?","Use as the main activity instruction."
"correlation-illusion-cards-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how patterns can feel meaningful before they are mathematically justified.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
