"id","type","title","front","back","teacher_use"
"simpsons-paradox-shuffle-card-01","Easy subgroup","Easy subgroup card","Method A: 9/10 success. Method B: 72/90 success.","Inside this subgroup, Method A has the higher rate.","Sort into subgroup and overall columns, then write a responsible comparison."
"simpsons-paradox-shuffle-card-02","Hard subgroup","Hard subgroup card","Method A: 30/90 success. Method B: 2/10 success.","Inside this subgroup, Method A again has the higher rate.","Sort into subgroup and overall columns, then write a responsible comparison."
"simpsons-paradox-shuffle-card-03","Overall","Overall card","Method A: 39/100 success. Method B: 74/100 success.","Overall, Method B appears better because the group sizes are uneven.","Sort into subgroup and overall columns, then write a responsible comparison."
"simpsons-paradox-shuffle-card-04","Reversal","Reversal card","Within each subgroup A wins, but overall B wins.","This is the paradox: the grouping structure matters.","Sort into subgroup and overall columns, then write a responsible comparison."
"simpsons-paradox-shuffle-card-05","Headline","Headline card","Method B has the higher success rate.","Is the headline responsible without subgroup context?","Sort into subgroup and overall columns, then write a responsible comparison."
"simpsons-paradox-shuffle-card-06","Criterion","Criterion card","Fair comparison requires comparable groups, visible denominators, and relevant subgroup structure.","Use to debrief aggregation choices.","Sort into subgroup and overall columns, then write a responsible comparison."
"simpsons-paradox-shuffle-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"simpsons-paradox-shuffle-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"simpsons-paradox-shuffle-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"simpsons-paradox-shuffle-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"simpsons-paradox-shuffle-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"simpsons-paradox-shuffle-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"simpsons-paradox-shuffle-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Mathematics.","How do grouping choices shape statistical knowledge?","Use as the main activity instruction."
"simpsons-paradox-shuffle-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how aggregated data can hide subgroup structure; mathematical knowledge depends on how cases are grouped.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
