"id","type","title","front","back","teacher_use"
"search-engine-ranking-game-stimulus-01","Stimulus","Result 1: Ad · PureGreen Cleanse Co.","“7-Day Celery Juice Liver Detox — feel lighter fast.”","Sells detox juice packs. No author listed. Ranking signal: Sponsorship.","Students rank by reliability, then rerank by a different search-engine signal."
"search-engine-ranking-game-stimulus-02","Stimulus","Result 2: WellnessNow Blog","“I drank celery juice every morning. Here’s what changed.”","Personal story, dramatic before/after claims, no medical sources. Ranking signal: Emotional appeal.","Students rank by reliability, then rerank by a different search-engine signal."
"search-engine-ranking-game-stimulus-03","Stimulus","Result 3: National Liver Foundation — Patient Guide","“Your liver already removes toxins from your blood.”","Explains liver function; reviewed by medical advisers. Ranking signal: Expertise.","Students rank by reliability, then rerank by a different search-engine signal."
"search-engine-ranking-game-stimulus-04","Stimulus","Result 4: HealthLine Daily","“Celery juice: benefits, myths, and what evidence says.”","Notes hydration/nutrients but says detox claims are unsupported. Ranking signal: Relevance.","Students rank by reliability, then rerank by a different search-engine signal."
"search-engine-ranking-game-stimulus-05","Stimulus","Result 5: TikTok Clip: @CleanBodyGuru","“Doctors don’t want you to know this detox trick.”","2.1M views, no evidence provided. Ranking signal: Popularity.","Students rank by reliability, then rerank by a different search-engine signal."
"search-engine-ranking-game-stimulus-06","Stimulus","Result 6: Research Summary: Journal of Nutrition Education","“Vegetable intake and health outcomes.”","Peer-reviewed; does not test celery juice detox claims directly. Ranking signal: Academic credibility, indirect relevance.","Students rank by reliability, then rerank by a different search-engine signal."
"search-engine-ranking-game-question-01","Lesson question","Question 1","Choose one result before discussing.","Look for whether students choose visibility, credibility, relevance, or emotion.","Students answer before the teacher reveal."
"search-engine-ranking-game-question-02","Lesson question","Question 2","Rank reliability, not attractiveness.","Likely result 3 or 4; result 6 is credible but indirect.","Students answer before the teacher reveal."
"search-engine-ranking-game-question-03","Lesson question","Question 3","Use the views and emotional hook.","Result 5: TikTok Clip @CleanBodyGuru.","Students answer before the teacher reveal."
"search-engine-ranking-game-question-04","Lesson question","Question 4","Look for the ad label.","Result 1: PureGreen Cleanse Co. advertisement.","Students answer before the teacher reveal."
"search-engine-ranking-game-question-05","Lesson question","Question 5","Look for reviewed medical guidance.","Result 3: National Liver Foundation patient guide.","Students answer before the teacher reveal."
"search-engine-ranking-game-question-06","Lesson question","Question 6","Turn the activity into a TOK claim.","A ranking system can make a weak result visible before a strong one.","Students answer before the teacher reveal."
"search-engine-ranking-game-task-01","Student task","Student Task","Query: Does drinking celery juice detox your liver? Rank all six results from most reliable to least reliable, then explain which signal shaped your ranking.","How do ranking systems influence what counts as visible, credible, or relevant?","Use as the main activity instruction."
"search-engine-ranking-game-reveal-01","Teacher reveal","Teacher Reveal","A search engine could rank result 5 highest by popularity, result 1 highest by sponsorship, result 4 highest by relevance, and result 3 highest by expertise. Visibility is not the same as reliability.","Most medically reliable: Result 3, then Result 4. | Most popular-looking: Result 5. | Most commercially promoted: Result 1. | Most academically credible but indirect: Result 6. | Least reliable for knowledge: Result 5 or Result 2, depending on criteria.","Use after students commit to an answer."
