"id","type","title","front","back","teacher_use"
"survey-wording-experiment-stimulus-01","Stimulus","Survey Wording Experiment Stimulus A","Student-facing stimulus 1: Two versions of the same question using 'support' versus 'allow'. Predict how people will respond, then identify the wording, context, incentive, or role that could change the result.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"survey-wording-experiment-stimulus-02","Stimulus","Survey Wording Experiment Stimulus B","Student-facing stimulus 2: A neutral, loaded, and leading survey item on the same issue. Predict how people will respond, then identify the wording, context, incentive, or role that could change the result.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"survey-wording-experiment-stimulus-03","Stimulus","Survey Wording Experiment Reveal / Twist","Student-facing stimulus 3: A class comparison chart showing how wording shifts results. Predict how people will respond, then identify the wording, context, incentive, or role that could change the result.","Teacher reveal: connect the changed response to the big idea — Measuring beliefs can alter the result.","Use to create the revision moment."
"survey-wording-experiment-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"survey-wording-experiment-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"survey-wording-experiment-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"survey-wording-experiment-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"survey-wording-experiment-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"survey-wording-experiment-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"survey-wording-experiment-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Human Sciences.","Can surveys measure beliefs objectively?","Use as the main activity instruction."
"survey-wording-experiment-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how measuring beliefs can alter the result.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
