"id","type","title","front","back","teacher_use"
"facial-recognition-bias-audit-stimulus-01","Stimulus","Facial Recognition Bias Audit Stimulus A","Student-facing stimulus 1: Audit row: hallway camera, 94% overall accuracy, but higher false positives in low light. Rank, sort, or audit this output. Identify which rule, ranking signal, or interface choice shaped your judgement.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"facial-recognition-bias-audit-stimulus-02","Stimulus","Facial Recognition Bias Audit Stimulus B","Student-facing stimulus 2: Stakeholder card: student wrongly flagged, administrator managing safety, developer defending the model. Rank, sort, or audit this output. Identify which rule, ranking signal, or interface choice shaped your judgement.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"facial-recognition-bias-audit-stimulus-03","Stimulus","Facial Recognition Bias Audit Reveal / Twist","Student-facing stimulus 3: Stakeholder card: student wrongly flagged, administrator managing safety, developer defending the model. Rank, sort, or audit this output. Identify which rule, ranking signal, or interface choice shaped your judgement.","Teacher reveal: connect the changed response to the big idea — Automated recognition is a knowledge claim whose reliability can vary across contexts and groups.","Use to create the revision moment."
"facial-recognition-bias-audit-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"facial-recognition-bias-audit-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"facial-recognition-bias-audit-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"facial-recognition-bias-audit-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"facial-recognition-bias-audit-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"facial-recognition-bias-audit-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"facial-recognition-bias-audit-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Knowledge and Technology.","When is a technological classification reliable enough to act on?","Use as the main activity instruction."
"facial-recognition-bias-audit-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how automated recognition is a knowledge claim whose reliability can vary across contexts and groups.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
