"id","type","title","front","back","teacher_use"
"ai-hallucination-courtroom-stimulus-01","Stimulus","AI Paragraph On Trial","Students should verify AI-generated answers because large language models do not truly understand facts; they predict likely sequences of words based on patterns in training data. This means they can produce answers that sound fluent and authoritative even when details are wrong. For example, a 2021 study by Elena Marsh and David Kline in the Journal of Digital Reasoning found that 68% of AI-generated school summaries contained at least one factual error. AI tools are also connected to the live internet by default, so they usually update themselves instantly when new information appears. Because of this, students should treat AI as a starting point for inquiry, not as a final authority.","Prompt given to AI: Explain why students should verify AI-generated answers.","Give this to every group as the core case file."
"ai-hallucination-courtroom-stimulus-02","Stimulus","Courtroom Roles","Prosecution: argue the paragraph is unreliable. Defence: argue parts are useful if treated carefully. Expert witness: explain hallucinations. Judge: classify claims. Jury: vote mostly reliable, partly reliable, or misleading.","Assign roles before students see the hidden issues.","Use for structured discussion."
"ai-hallucination-courtroom-stimulus-03","Stimulus","Hidden Issues","Fabricated citation: Elena Marsh and David Kline, Journal of Digital Reasoning, 2021. Plausible false detail: AI tools are connected to the live internet by default. Grounded claim: AI can produce fluent but incorrect answers. TOK point: fluency can create misplaced trust.","Teacher reveal after verdicts.","Use after groups commit to a verdict."
"ai-hallucination-courtroom-stimulus-04","Stimulus","Claim Check: AI predicts likely word sequences","Verdict: Grounded","This broadly describes how language models generate text.","Students fill this table before seeing the teacher key."
"ai-hallucination-courtroom-stimulus-05","Stimulus","Claim Check: AI can sound authoritative while wrong","Verdict: Grounded","This is a known risk of generative AI.","Students fill this table before seeing the teacher key."
"ai-hallucination-courtroom-stimulus-06","Stimulus","Claim Check: Marsh and Kline study, 2021","Verdict: False/Fabricated","The citation is invented for this activity.","Students fill this table before seeing the teacher key."
"ai-hallucination-courtroom-stimulus-07","Stimulus","Claim Check: 68% of school summaries had errors","Verdict: Unsupported","Depends entirely on the fabricated study.","Students fill this table before seeing the teacher key."
"ai-hallucination-courtroom-stimulus-08","Stimulus","Claim Check: AI tools are live online by default","Verdict: False","Some tools can browse, but many do not by default.","Students fill this table before seeing the teacher key."
"ai-hallucination-courtroom-stimulus-09","Stimulus","Claim Check: AI should be a starting point, not final authority","Verdict: Reasonable conclusion","Supported by the earlier risks.","Students fill this table before seeing the teacher key."
"ai-hallucination-courtroom-question-01","Lesson question","Question 1","Underline the most persuasive detail.","The fabricated 2021 study and percentage often sound authoritative.","Students answer before the teacher reveal."
"ai-hallucination-courtroom-question-02","Lesson question","Question 2","Mark grounded claims with G.","AI can produce fluent but incorrect answers; language models predict likely word sequences.","Students answer before the teacher reveal."
"ai-hallucination-courtroom-question-03","Lesson question","Question 3","Mark fabricated claims with F.","The Marsh and Kline citation in the Journal of Digital Reasoning.","Students answer before the teacher reveal."
"ai-hallucination-courtroom-question-04","Lesson question","Question 4","Mark false or overgeneralised claims with X.","AI tools are connected to the live internet by default.","Students answer before the teacher reveal."
"ai-hallucination-courtroom-question-05","Lesson question","Question 5","Name the trust cues.","Fluent tone, specific names, journal title, percentage, and confident explanation.","Students answer before the teacher reveal."
"ai-hallucination-courtroom-question-06","Lesson question","Question 6","Write the courtroom verdict.","Partly; some claims are reasonable, but the fabricated/unsupported claims prevent treating it as reliable knowledge without verification.","Students answer before the teacher reveal."
"ai-hallucination-courtroom-task-01","Student task","Student Task","For each claim, decide: grounded, unsupported, false, or needs verification. Then write: “Can this paragraph count as knowledge? Why or why not?”","How can fluency imitate knowledge while lacking reliable grounding, source accountability, or warranted justification?","Use as the main activity instruction."
"ai-hallucination-courtroom-reveal-01","Teacher reveal","Teacher Reveal","The paragraph is partly useful but not reliable as knowledge without verification because it combines grounded claims with fabricated and overgeneralised details.","AI predicts likely word sequences: Grounded — This broadly describes how language models generate text. | AI can sound authoritative while wrong: Grounded — This is a known risk of generative AI. | Marsh and Kline study, 2021: False/Fabricated — The citation is invented for this activity. | 68% of school summaries had errors: Unsupported — Depends entirely on the fabricated study. | AI tools are live online by default: False — Some tools can browse, but many do not by default. | AI should be a starting point, not final authority: Reasonable conclusion — Supported by the earlier risks.","Use after students commit to an answer."
